Numero,Comuna,Poblacion,ICV,I_Calidad_Vivienda,I_Servicios,I_Ambiente,I_Escolaridad,I_Desescolaridad,I_Movilidad,I_Capita_hogar,I_Participacion,I_Libertad_seguridad,I_Vulnerabilidad,I_Salud,I_Trabajo,I_Recreacion,I_Percepcion_calidad,I_Ingresos,COMUNICACIONES,CULTURA,DAGRD,DESARROLLO ECONOMICO,EDUCACION,EDUCACION SUPERIOR,GESTION Y CONTROL,INCLUSION,INDER,INFRAESTRUCTURA,ISVIMED,JUVENTUD,MEDIO AMBIENTE,MOVILIDAD,MUJERES,PARTICIPACION,SALUD,SEGURIDAD
1,POPULAR,108660,33.7,1.24,3.61,1.75,1.81,4.03,1.26,3.67,1.1,1.73,6.92,3.04,1.07,0.07,1.36,1.04,395814373,1315666667,1200000000,,,3880000000,,6743233609,2078312830,2500000000,,498400560,1202894987,,700000000,,,
2,SANTA CRUZ,95691,36.1,1.72,3.88,1.81,1.92,4.08,1.31,3.87,1.1,1.81,7.74,3.21,1.04,0.06,1.45,1.1,311277364,2047472650,,800000000,,3639500000,,4421298150,1769587504,,,,1150000000,,,675000000,,660000000
3,MANRIQUE,139128,38.2,2.01,3.68,2.27,1.9,4.03,1.29,4.31,1.16,1.93,8.37,3.46,1.18,0.07,1.43,1.11,331562275,1930843550,,1100000000,500000000,2350500000,,5910618046,3490931384,2500000000,,,,,,869516197,1166300000,550000000
4,ARANJUEZ,143175,44.42,3.41,3.91,2.37,2.06,4.05,1.55,5.26,1.24,2.03,10.71,3.76,1.18,0.1,1.54,1.25,,,,,2750000000,,2635125290,1576214694,2500000000,1401486747,1018932264,1114866274,,,1396489648,,80000000,
5,CASTILLA,135720,46.81,3.99,4.01,2.31,2.28,4.14,1.53,5.94,1.32,1.73,11.67,3.67,1.11,0.1,1.56,1.45,,2045269232,,1650000000,400000000,5526846195,,2458642510,1400181394,,,,1900000000,,,902791140,,900000000
6,DOCE DE OCTUBRE,170327,40.45,2.53,4.01,2.21,1.98,4.02,1.48,4.7,1.14,1.74,9.28,3.5,1.19,0.07,1.44,1.16,,2564947649,,1560000000,400000000,3956492912,,2758372780,1907666666,,1529208095,,1100000000,2830000000,415000000,1332171930,1369600000,1100000000
7,ROBLEDO,153728,44.6,3.2,3.96,2.83,2.38,4.05,1.53,5.43,1.32,1.8,10.41,3.63,1.11,0.05,1.46,1.44,207587253,1832346108,1381000000,250000000,,6460200000,,3877323190,,,,,700000000,,,900000000,1444500000,590000000
8,VILLA HERMOSA,118828,39.57,2.24,3.62,2.44,1.87,3.99,1.38,4.51,1.1,1.91,8.81,3.58,1.2,0.08,1.43,1.41,270564546,1746882520,,,,3398050000,,3353000444,2195968559,,1529208095,,500000000,,,508543153,,640000000
9,BUENOS AIRES,123332,49.58,4.32,4.01,2.78,2.65,4.17,1.55,6.23,1.27,1.91,12.35,3.73,1.18,0.07,1.51,1.85,,1766628282,,,,2947400000,,1908534890,2197752150,,,,1200000000,,,1000000000,,
10,LA CANDELARIA,79280,55.27,6.47,3.88,2.15,3.02,4.32,1.52,7.04,1.4,1.65,15.49,3.65,1.16,0.11,1.52,1.89,1763702930,695000000,,689282300,400000000,1708200000,,2111247710,298269471,,,,,,,1354900976,1455200000,
11,LAURELES ESTADIO,116660,67.68,8.8,4.11,3.13,3.81,4.48,1.72,9.61,1.6,1.87,19.66,3.53,0.98,0.09,1.73,2.56,155460901,1373407704,,600000000,500000000,1862500000,,1103212360,1556514247,,,,1300000000,,,,919130000,500000000
12,LA AMERICA,91987,60.13,7.32,4.13,3.02,2.99,4.37,1.7,7.96,1.47,1.9,16.91,3.68,1.09,0.06,1.61,1.92,219787588,2154445550,,600000000,,832500000,,760583823,1477775767,220000000,,,1750000000,,,1512693758,1465900000,
