Numero,ICV,I_Ingresos,Total_Votos_porc,Presupuesto_O_pc,Presupuesto_pc,Rango_presupuesto_pc
1,33.7,1.04,0.440668139,2678102.15,119903.131,2
2,36.1,1.1,0.17657878,2555496.62,118206.7024,2
3,38.2,1.11,0.2685872,2381156.286,87791.86815,2
4,44.42,1.25,0.210818928,2134239.183,76563.81985,1
5,46.81,1.45,0.212577365,1965204.103,70330.80613,1
6,40.45,1.16,0.253424296,1887218.397,56171.86185,1
7,44.6,1.44,0.169435627,2444123.575,95316.9068,2
8,39.57,1.41,0.302925237,2581054.327,93568.31765,2
9,49.58,1.85,0.264878539,1990116.496,77409.86959,1
10,55.27,1.89,0.21629667,4325923.125,85003.78043,2
11,67.68,2.56,0.154945997,1258691.486,49494.36389,1
12,60.13,1.92,0.31733832,1553296.412,65363.96233,1
13,39.92,1.17,0.215977001,2455640.342,103083.7742,2
14,74.86,3.23,0.136019909,1250773.036,46475.18616,1
15,51.63,1.6,0.219559689,1524741.856,96214.60945,2
16,55.94,1.97,0.160887787,1615308.09,53045.39606,1
50,37.53,1.01,1.16,5419047.619,968626.2917,3
60,41.21,1.36,0.340442841,2233805.848,96091.3661,2
70,42.2,1.34,0.432397304,2617760.164,181812.457,2
80,42.45,1.27,0.296745441,1700216.23,86282.54424,2
90,39.38,1.26,0.497582008,2751306.694,176905.0055,2
