Poblacion,IMCV,Ind Entorno de la vivienda,Ind Servicios publicos,Ind Medio ambiente,Ind Escolaridad,Ind Desescolarizacion,Ind Movilidad,Ind Capital fisico,Ind Participacion,Ind Libertad y seguridad,Ind Vulnerabilidad,Ind Salud,Ind Trabajo,Ind Recreacion,Ind Percepcion calidad de vida,Ind Ingreso per-capita,Cultura Ciudadana,Infraestructura,Medio Ambiente,Movilidad,Salud,Seguridad,Biblioteca,Desarrollo Economico,Educacion,Educacion Superior,FONVALMED,Gestion del riesgo,Gestion y Control Territorial,INR,Inclusion Social,Jovenes,Mujeres,Museo Casa la Memoria,Participacion,APP,DAP,Gestion Humana,INDER,Vivienda
130914,34.77,1.49,3.61,2.21,1.65,4.03,1.33,4.04,1.05,1.87,7.3,2.82,0.67,0.06,1.41,1.2,1740000000,1750000000,75500000,252000000,64100000000,848000000,,911000000,68000000000,1150000000,,337000000,1700000000,3560000000,21900000000,44300000,618000000,42100000,671000000,,,,,3590000000
111992,36.89,2.03,3.85,2.15,1.71,4.08,1.39,4.31,1.04,1.93,8.15,2.79,0.63,0.06,1.44,1.33,1160000000,1720000000,,228000000,49300000000,815000000,,414000000,53700000000,948000000,,30000000,1230000000,2360000000,13200000000,47500000,428000000,49700000,605000000,,,,,1730000000
160378,37.72,2.07,3.8,2.46,1.79,4.13,1.36,4.47,1.1,1.85,8.27,2.98,0.59,0.04,1.38,1.43,1350000000,1840000000,33600000,411000000,64000000000,761000000,25700000,881000000,67600000000,1990000000,,546000000,1280000000,3880000000,20400000000,49300000,630000000,53200000,542000000,,,,,2390000000
162596,43.73,3.47,3.92,2.39,2,4.16,1.51,5.74,1.17,1.9,10.65,3.21,0.62,0.02,1.43,1.56,6500000000,31300000000,,277000000,46500000000,1100000000,,1140000000,63500000000,1690000000,,221000000,1150000000,3730000000,17300000000,73300000,510000000,46600000,615000000,,,,,867000000
150347,48.69,4.34,4.1,2.73,2.29,4.25,1.57,6.45,1.39,1.7,12.31,3.44,0.71,0.04,1.49,1.83,805000000,32400000000,,330000000,27600000000,769000000,7620000,998000000,57700000000,1410000000,,,754000000,6730000000,11600000000,198000000,579000000,50200000,629000000,980000000,,,,367000000
194239,41.43,2.6,4.04,2.67,1.93,4.18,1.49,5.14,1.27,1.82,9.48,3.13,0.61,0.03,1.5,1.51,3090000000,1820000000,256000000,445000000,60500000000,826000000,,745000000,65300000000,1750000000,,279000000,1540000000,4090000000,13600000000,59000000,707000000,44600000,805000000,252000000,,,,1070000000
173075,45.64,3.51,4.03,2.89,2.39,4.2,1.47,5.96,1.32,1.79,10.76,3.41,0.65,0.06,1.5,1.78,4850000000,6570000000,427000000,398000000,41600000000,1080000000,,1320000000,71600000000,3540000000,,30000000,1100000000,3780000000,19600000000,59400000,643000000,93200000,845000000,,,,,1480000000
138045,38.76,2.34,3.71,2.5,1.97,4.11,1.39,4.72,1.16,1.77,8.69,3.08,0.6,0.06,1.43,1.39,2990000000,10500000000,901000000,301000000,58100000000,564000000,,718000000,68400000000,1960000000,,221000000,1640000000,5190000000,18000000000,168000000,664000000,58300000,708000000,252000000,,,,2130000000
137049,49.39,4.4,4.11,2.92,2.5,4.23,1.57,6.65,1.33,1.92,11.97,3.6,0.68,0.07,1.6,1.9,1640000000,10200000000,256000000,807000000,31200000000,767000000,,715000000,51100000000,2390000000,,221000000,849000000,3520000000,11500000000,39800000,389000000,95300000,528000000,252000000,,,,2640000000
85587,55.91,6.6,4,2.43,2.97,4.33,1.59,7.6,1.38,1.68,14.72,3.68,0.72,0.07,1.56,2.37,5990000000,23500000000,,704000000,12800000000,5830000000,,2120000000,38400000000,449000000,,,1370000000,2730000000,30800000000,25400000,205000000,91700000,447000000,3110000000,,,,134000000
122503,70.38,8.78,4.28,3.16,3.88,4.47,1.74,10.9,1.68,1.82,19.81,4.18,0.7,0.07,1.78,3.07,1300000000,905000000,,591000000,4040000000,1380000000,5650000000,981000000,15400000000,290000000,,,190000000,12800000000,2170000000,20900000,120000000,56300000,386000000,317000000,,,,17127090
96613,63.46,7.48,4.24,3.35,3.19,4.33,1.7,9.34,1.55,1.87,17.23,4.02,0.7,0.08,1.66,2.57,2110000000,629000000,,347000000,5750000000,617000000,,464000000,37500000000,769000000,,,253000000,2410000000,11000000000,34500000,141000000,49200000,522000000,,,,,52627175
138625,39.23,2.49,3.79,2.45,2.06,4.12,1.44,5.02,1.21,1.73,8.04,3.16,0.62,0.07,1.47,1.57,2810000000,470000000,,1560000000,56000000000,1350000000,7990000,1220000000,55000000000,1470000000,,123000000,1490000000,4160000000,16100000000,44100000,642000000,80100000,655000000,,,,,2190000000
130206,75.48,9.35,4.34,3.4,4.66,4.52,1.73,12.39,1.67,1.91,21.01,4.33,0.73,0.08,1.83,3.46,1620000000,7940000000,,632000000,4240000000,2070000000,,3610000000,16800000000,360000000,90200000,,248000000,2220000000,1680000000,19300000,73500000,59800000,322000000,452000000,,,,2700000
94960,49.39,5.15,4.12,2.67,2.39,4.24,1.6,6.83,1.41,1.83,12.2,3.4,0.56,0.06,1.5,1.77,1960000000,1790000000,,374000000,13200000000,733000000,,973000000,26200000000,495000000,,,340000000,3780000000,4170000000,35600000,114000000,45100000,502000000,576000000,,,,31500000
197123,56.67,5.95,4.22,2.99,2.96,4.35,1.56,8.21,1.44,1.78,14.8,3.86,0.65,0.08,1.66,2.31,3330000000,7920000000,598000000,530000000,26700000000,1130000000,,1870000000,45200000000,2000000000,,92800000,731000000,6030000000,8700000000,49500000,336000000,64900000,609000000,192000000,,,,217000000
