Numero,Poblacion,COMUNICACIONES,CULTURA,DAGRD,DESARROLLO ECONOMICO,EDUCACION,EDUCACION SUPERIOR,GESTION Y CONTROL,INCLUSION,INDER,INFRAESTRUCTURA,ISVIMED,JUVENTUD,MEDIO AMBIENTE,MOVILIDAD,MUJERES,PARTICIPACION,SALUD,SEGURIDAD
1,108660.0,1100.0,2707.0,2538.0,0.0,0.0,13201.0,0.0,13219.0,2016.0,2594.0,0.0,2023.0,5590.0,0.0,2766.0,0.0,0.0,0.0
2,95691.0,672.0,3387.0,0.0,1031.0,0.0,1524.0,0.0,5429.0,1446.0,0.0,0.0,0.0,1193.0,0.0,0.0,936.0,0.0,1237.0
3,139128.0,1005.0,2315.0,0.0,1865.0,2908.0,4093.0,0.0,9807.0,4914.0,2783.0,0.0,0.0,0.0,0.0,0.0,2427.0,2808.0,2328.0
4,143175.0,0.0,0.0,0.0,0.0,0.0,2886.0,0.0,10357.0,2402.0,2180.0,2459.0,1830.0,4498.0,0.0,0.0,2020.0,0.0,1387.0
5,135720.0,0.0,4841.0,0.0,2274.0,1458.0,4301.0,0.0,5486.0,2593.0,0.0,0.0,0.0,2044.0,0.0,0.0,4565.0,0.0,1178.0
6,170327.0,0.0,6041.0,0.0,1775.0,1717.0,3228.0,0.0,6831.0,4100.0,0.0,2212.0,0.0,4368.0,1941.0,1741.0,5209.0,2178.0,1710.0
7,153728.0,714.0,3454.0,2012.0,1714.0,0.0,2921.0,0.0,7443.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,1328.0,2464.0,1927.0
8,118828.0,1350.0,4379.0,0.0,0.0,0.0,5570.0,0.0,8359.0,6181.0,0.0,2590.0,0.0,2628.0,0.0,0.0,1537.0,0.0,3302.0
9,123332.0,0.0,6411.0,0.0,0.0,0.0,3812.0,0.0,10244.0,3664.0,0.0,0.0,0.0,5417.0,0.0,0.0,2937.0,0.0,0.0
10,79280.0,1213.0,914.0,0.0,1653.0,1435.0,2185.0,0.0,5422.0,1817.0,0.0,0.0,0.0,0.0,0.0,0.0,1431.0,1010.0,0.0
11,116660.0,615.0,1537.0,0.0,1229.0,1365.0,1902.0,0.0,4153.0,1992.0,0.0,0.0,0.0,1829.0,0.0,0.0,0.0,1893.0,1528.0
12,91987.0,920.0,4857.0,0.0,1586.0,0.0,2808.0,0.0,5174.0,2434.0,2166.0,0.0,0.0,4496.0,0.0,0.0,2516.0,2161.0,0.0
13,119309.0,782.0,4221.0,0.0,0.0,1612.0,2840.0,0.0,5303.0,3195.0,0.0,0.0,1059.0,1336.0,1456.0,0.0,719.0,2243.0,918.0
14,124967.0,0.0,853.0,648.0,1039.0,1944.0,1567.0,0.0,1871.0,2306.0,0.0,846.0,1644.0,1067.0,2334.0,839.0,0.0,0.0,0.0
15,87302.0,764.0,1524.0,0.0,0.0,1286.0,2152.0,0.0,4316.0,1677.0,0.0,0.0,1119.0,1590.0,964.0,0.0,900.0,1844.0,955.0
16,179908.0,0.0,2506.0,1314.0,0.0,0.0,3657.0,0.0,7193.0,3160.0,0.0,0.0,0.0,4393.0,0.0,2496.0,2307.0,0.0,1858.0
50,6496.0,0.0,556.0,318.0,1908.0,0.0,1354.0,901.0,1253.0,0.0,0.0,0.0,495.0,410.0,0.0,0.0,356.0,0.0,0.0
60,84816.0,765.0,2573.0,992.0,3127.0,0.0,3605.0,0.0,7677.0,3013.0,0.0,0.0,0.0,0.0,0.0,0.0,2366.0,2888.0,1772.0
70,33083.0,0.0,1093.0,0.0,560.0,1615.0,1521.0,0.0,2913.0,1864.0,810.0,0.0,0.0,1327.0,1107.0,0.0,0.0,1444.0,0.0
80,104561.0,0.0,1630.0,0.0,2727.0,0.0,2812.0,1472.0,8898.0,3432.0,0.0,2977.0,0.0,2600.0,1556.0,1137.0,670.0,0.0,1024.0
90,17163.0,0.0,581.0,0.0,686.0,0.0,1282.0,0.0,2848.0,0.0,0.0,0.0,435.0,1260.0,388.0,0.0,254.0,603.0,187.0
